render_id,canonical_name,category,category_code,policy,original_v5_shift,candidate_shift,difference_from_v5,face_x_after,face_safe,new_edge_clipping,has_new_edge_clipping,tracking_confidence
c010_02,拉毗,B 长发 (拉毗·白色约定),B,B,64.26,64.26,0.0,824.26,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9793
c010_02,拉毗,B 长发 (拉毗·白色约定),B,C,64.26,39.53,-24.73,799.53,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9793
c010_02,拉毗,B 长发 (拉毗·白色约定),B,D,64.26,31.92,-32.34,791.92,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9793
c010_02,拉毗,B 长发 (拉毗·白色约定),B,E,64.26,46.38,-17.88,806.38,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9793
c016,拉毗：小红帽,C 长枪/背包 (拉毗：小红帽),C,A,-124.46,0.0,124.46,860.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9805
c016,拉毗：小红帽,C 长枪/背包 (拉毗：小红帽),C,B,-124.46,-124.46,0.0,735.54,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9805
c016,拉毗：小红帽,C 长枪/背包 (拉毗：小红帽),C,C,-124.46,-40.0,84.46,820.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9805
c016,拉毗：小红帽,C 长枪/背包 (拉毗：小红帽),C,D,-124.46,-32.0,92.46,828.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9805
c016,拉毗：小红帽,C 长枪/背包 (拉毗：小红帽),C,E,-124.46,-47.99,76.47,812.01,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9805
c471,白雪公主：重型武装,C 长枪/背包 (白雪公主：重型武装),C,A,86.12,0.0,-86.12,742.0,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9527
c471,白雪公主：重型武装,C 长枪/背包 (白雪公主：重型武装),C,B,86.12,86.12,0.0,828.12,True,"{'left': False, 'top': False, 'right': False, 'bottom': False}",False,0.9527
