render_id,resource_id,canonical_name,character_name_en,costume_id,costume_name,is_costume,category_code,category,scale,body_axis_x,visual_center_x,bootstrap_width,trusted_width,bootstrap_reliable,bootstrap_support_rows,bootstrap_clean_rows,bootstrap_clean_fraction,bootstrap_half_balance,bootstrap_contaminated_rows,confidence,path_coverage,path_continuity,path_ambiguity,width_reliability,terminated_early,max_vertical_gap,max_untrusted_span,raw_shift_x,applied_shift_x,clamped,face_before,face_after,face_safe,off_artwork_card_bbox,on_artwork_card_bbox,off_clipping,on_clipping,new_edge_clipping,has_new_edge_clipping,clipping_regressions,clipping_review,anchor_kind,portrait_width,portrait_height,face_point_portrait,shift_x,shift_y,reason,over_40px
c101,101,德雷克,Drake,0,,False,D,D 机械翼/披风 (德雷克),0.7949,707.0,707.0,531.0,917.77,True,199,533,0.9049,0.8898,0,0.9645,1.0,0.9762,0.9661,1.0,False,0.0,0.0,61.22,42.51,False,"[760.0, 550.0]","[802.51, 550.0]",True,"[227.64, 294.35, 1229.25, 2940.67]","[270.15, 294.35, 1271.77, 2940.67]","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,1388,3457,"[733.6935106691826, 385.606247329541]",42.51,-0.0,ok,True
c180,180,吉萝婷,Guillotine,0,,False,D,D 机械翼/披风 (吉洛霆),0.5425,909.0,909.0,639.5,499.39,True,496,571,1.0,0.8053,0,0.9679,1.0,0.9605,0.9891,1.0,False,0.0,0.0,46.88,32.67,False,"[760.0, 550.0]","[792.67, 550.0]",True,"[294.7, 376.24, 1372.66, 2243.02]","[327.37, 376.24, 1405.34, 2243.02]","{'left': False, 'top': False, 'right': False, 'bottom': False}","{'left': False, 'top': False, 'right': False, 'bottom': False}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,2115,3569,"[921.68475872559, 384.2850125583291]",32.67,-0.0,ok,False
c352,352,海伦,Helm,0,,False,E,E 宽裙摆 (海伦),4.4606,337.0,337.0,114.0,296.9,True,71,95,0.6209,0.54,25,0.9241,1.0,0.9555,0.9469,0.9737,False,0.0,30.0,8.1,5.39,False,"[760.0, 550.0]","[765.39, 550.0]",True,"[-639.94, 95.67, 2147.92, 3931.76]","[-634.55, 95.67, 2153.3, 3931.76]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,657,892,"[329.8477022167955, 117.8550639570251]",5.39,-0.0,ok,False
c181,181,梅登,Maiden,0,,False,E,E 宽裙摆 (梅登),0.9238,1425.0,1425.0,528.0,1978.03,True,389,389,0.6837,0.5602,180,0.9203,1.0,0.9333,0.9691,0.9696,False,0.0,240.0,129.25,85.65,False,"[760.0, 550.0]","[845.65, 550.0]",True,"[-586.59, 162.09, 1903.14, 3338.24]","[-500.95, 162.09, 1988.79, 3338.24]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,2823,3566,"[1521.6129338267538, 483.88964440125756]",85.65,-0.0,ok,True
c233,233,桃乐丝,Dorothy,0,,False,E,E 宽裙摆 (桃乐丝),1.4467,863.0,863.0,642.0,1094.89,True,245,317,0.5319,0.5014,279,0.9404,1.0,0.9734,0.9282,1.0,False,0.0,0.0,-130.2,-88.16,False,"[760.0, 550.0]","[671.84, 550.0]",True,"[-225.71, 96.13, 2563.52, 5069.88]","[-313.87, 96.13, 2475.36, 5069.88]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,2056,3566,"[745.3542008512054, 377.7292974310126]",-88.16,-0.0,ok,True
c310,310,爱德,Ade,0,,False,E,E 宽裙摆 (艾德),0.8774,1540.7,1540.7,659.5,2034.78,False,512,513,0.8536,0.8827,88,0.1686,1.0,0.8852,0.9748,0.8847,False,0.0,928.0,-129.09,0.0,False,"[760.0, 550.0]","[760.0, 550.0]",True,"[-366.53, 51.58, 2130.48, 3354.91]","[-366.53, 51.58, 2130.48, 3354.91]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,2974,3893,"[1347.9773163941659, 632.080520013375]",0.0,0.0,low_confidence,False
c161,161,米哈拉,Mihara,0,,False,F,F 偏头/侧脸 (米哈拉),0.8925,1009.0,1009.0,681.5,1333.3,True,326,332,0.5561,0.6054,265,0.9826,1.0,0.9775,0.9953,1.0,False,0.0,0.0,35.42,25.06,False,"[760.0, 550.0]","[785.06, 550.0]",True,"[-78.85, 252.99, 1642.83, 3382.18]","[-53.8, 252.99, 1667.88, 3382.18]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,2057,3634,"[1003.8649256371539, 396.7715660157455]",25.06,-0.0,ok,False
c222,222,红莲,Scarlet,0,,False,F,F 偏头/侧脸 (红莲),1.1193,1314.0,1314.0,498.0,292.23,True,456,456,0.8,0.6988,114,0.7098,1.0,0.874,0.9844,0.9256,False,0.0,378.0,161.03,82.29,False,"[760.0, 550.0]","[842.29, 550.0]",True,"[-760.19, -298.09, 2653.75, 3553.5]","[-677.89, -298.09, 2736.04, 3553.5]","{'left': True, 'top': True, 'right': True, 'bottom': True}","{'left': True, 'top': True, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,3178,3569,"[1422.1287552993072, 821.6832960241804]",82.29,-0.0,ok,True
c234,234,桃乐丝：机缘巧遇,Dorothy: Serendipity,0,,False,G,G 强非对称姿势 (桃乐丝：机缘巧遇),4.0102,321.0,321.0,253.0,364.45,True,62,132,0.8627,0.6365,10,0.9632,1.0,0.9668,0.974,1.0,False,0.0,0.0,-104.85,-72.71,False,"[760.0, 550.0]","[687.29, 550.0]",True,"[-318.25, -173.27, 1967.54, 3271.46]","[-390.96, -173.27, 1894.83, 3271.46]","{'left': True, 'top': True, 'right': True, 'bottom': True}","{'left': True, 'top': True, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,602,891,"[284.87966190429086, 196.35972095722434]",-72.71,-0.0,ok,True
c110,110,克拉乌,Crow,0,,False,G,G 强非对称姿势 (克拉乌),1.561,1030.11,1030.11,450.0,569.33,True,91,187,0.3555,0.3806,130,0.6682,1.0,0.8521,0.9495,0.8919,False,0.0,738.0,8.75,4.21,False,"[760.0, 550.0]","[764.21, 550.0]",True,"[-716.89, 109.22, 1652.78, 5477.67]","[-712.68, 109.22, 1656.99, 5477.67]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,1646,3567,"[1010.0892605852555, 346.36096662547243]",4.21,-0.0,ok,False
c111,111,豺狼,Jackal,0,,False,G,G 强非对称姿势 (豺狼),0.6638,871.34,871.34,440.0,286.56,True,49,641,0.9683,0.7847,21,0.7141,1.0,0.9261,0.9984,0.8704,False,0.0,1044.0,32.36,16.64,False,"[760.0, 550.0]","[776.64, 550.0]",True,"[231.77, 177.85, 1332.94, 2641.7]","[248.41, 177.85, 1349.57, 2641.7]","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,1787,3840,"[859.8188897327273, 624.6740594473081]",16.64,-0.0,ok,False
c140,140,舒格,Sugar,0,,False,G,G 强非对称姿势 (舒格),1.1366,1227.5,1227.5,519.0,527.09,True,171,239,0.4587,0.4612,282,0.6203,1.0,0.7758,0.99,0.8321,False,0.0,664.0,151.64,67.72,False,"[760.0, 550.0]","[827.72, 550.0]",True,"[-674.04, 183.02, 3227.82, 3608.65]","[-606.32, 183.02, 3295.54, 3608.65]","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,,manual_required,eye_attachment,3561,3142,"[1325.7237509311874, 386.8838545568551]",67.72,-0.0,ok,True
c400,400,吉尔提,Guilty,0,,False,G,G 强非对称姿势 (吉尔提),0.9997,969.0,969.0,823.5,293.6,True,372,384,0.6,0.5296,256,0.933,0.9882,0.9286,0.9786,0.999,True,0.0,9.0,400.98,130.62,True,"[760.0, 550.0]","[890.62, 550.0]",True,"[-505.67, 82.95, 1478.66, 3638.73]","[-375.05, 82.95, 1609.27, 3638.73]","{'left': True, 'top': False, 'right': False, 'bottom': True}","{'left': True, 'top': False, 'right': True, 'bottom': True}","{'left': False, 'top': False, 'right': True, 'bottom': False}",True,True,regression_detected,eye_attachment,2113,3685,"[1330.0988336312703, 531.2135553574717]",130.62,-0.0,ok,True
c010_03,10,拉毗,Rapi,10005,经典假期,True,H,H costume variants (拉毗·经典假期),3.3278,265.5,265.5,139.0,203.89,True,61,149,0.9551,0.6964,7,0.9809,1.0,0.9737,0.9967,1.0,False,0.0,0.0,-27.91,-19.71,False,"[760.0, 550.0]","[740.29, 550.0]",True,"[-2.38, 247.59, 1445.22, 3109.5]","[-22.09, 247.59, 1425.51, 3109.5]","{'left': True, 'top': False, 'right': False, 'bottom': True}","{'left': True, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,467,892,"[245.09322714154428, 106.87385137424496]",-19.71,-0.0,ok,False
c017,17,阿妮斯：超级巨星,Anis: Star,0,,False,H,H costume variants (阿妮斯：超级巨星),3.888,187.5,187.5,152.0,175.42,True,100,134,0.8933,0.7726,16,0.9716,1.0,0.962,0.9936,1.0,False,0.0,0.0,31.17,21.8,False,"[760.0, 550.0]","[781.8, 550.0]",True,"[102.05, 85.7, 1330.64, 3425.45]","[123.85, 85.7, 1352.44, 3425.45]","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,348,891,"[185.22893383212352, 135.41948886800128]",21.8,-0.0,ok,False
c224,224,白雪公主：纯真年代,Snow White: Innocent Days,0,,False,H,H costume variants (白雪公主：纯真年代),0.9809,819.5,819.5,645.78,602.27,False,0,0,0.0,0.3025,584,0.1961,1.0,0.9761,0.9931,1.0,False,0.0,0.0,409.9,0.0,False,"[760.0, 550.0]","[760.0, 550.0]",True,"[-350.95, -172.98, 1410.71, 3203.21]","[-350.95, -172.98, 1410.71, 3203.21]","{'left': True, 'top': True, 'right': False, 'bottom': True}","{'left': True, 'top': True, 'right': False, 'bottom': True}","{'left': False, 'top': False, 'right': False, 'bottom': False}",False,False,clean,eye_attachment,1924,3570,"[1196.6094314072438, 801.0764344254658]",0.0,0.0,low_confidence,False
